# Data was provided from Jon Gudmundsson
# freq[GHz]	T_rj[K_rj]
12.92285	175.2901
12.92292	175.2897
12.92297	175.2895
12.923	175.2893
12.92303	175.2892
12.92304	175.2891
12.92305	175.289
12.92308	175.2889
12.92311	175.2887
12.92316	175.2884
12.92324	175.288
12.92335	175.2874
12.92353	175.2864
12.92379	175.2852
12.92417	175.2835
12.92476	175.2811
12.92563	175.2762
12.92694	175.2704
12.9289	175.2577
12.93185	175.244
12.93626	175.2201
12.94289	175.1864
12.95284	175.1344
12.96775	175.0582
12.99012	174.9426
13.02367	174.7704
13.074	174.5136
13.14812	174.1388
13.19754	173.8885
13.23048	173.7233
13.25245	173.6138
13.26709	173.5394
13.27685	173.4924
13.28336	173.4592
13.28769	173.4371
13.29059	173.4233
13.29252	173.4137
13.2938	173.4071
13.29466	173.404
13.29523	173.4011
13.29561	173.3989
13.29586	173.3976
13.29603	173.3967
13.29615	173.3962
13.29622	173.3959
13.29627	173.3956
13.2963	173.3955
13.29633	173.3954
13.29634	173.3953
13.29636	173.3952
13.29637	173.3951
13.2964	173.395
13.29645	173.3948
13.29651	173.3945
13.29661	173.394
13.29675	173.3932
13.29697	173.392
13.2973	173.3902
13.2978	173.3878
13.29854	173.3839
13.29965	173.378
13.30132	173.3714
13.30381	173.3588
13.30756	173.3403
13.31319	173.3114
13.32162	173.2677
13.33428	173.2064
13.35326	173.1121
13.38173	172.972
13.42444	172.7631
13.4885	172.452
13.52972	172.2508
13.55721	172.1164
13.57553	172.0284
13.58774	171.9675
13.59589	171.9308
13.60131	171.9041
13.60493	171.8861
13.60735	171.8754
13.60895	171.8656
13.61003	171.8616
13.61074	171.8586
13.61122	171.8564
13.61154	171.8551
13.61175	171.8543
13.61189	171.8539
13.61198	171.8534
13.61205	171.8531
13.61209	171.8529
13.61211	171.8527
13.61213	171.8526
13.61215	171.8526
13.61216	171.8525
13.61219	171.8524
13.61223	171.8522
13.61228	171.8519
13.61237	171.8514
13.6125	171.8507
13.6127	171.8497
13.61299	171.8481
13.61343	171.8454
13.61408	171.8408
13.61507	171.837
13.61655	171.8315
13.61877	171.8199
13.6221	171.8046
13.62709	171.7806
13.63457	171.7432
13.64581	171.6894
13.66417	171.6025
13.67642	171.5428
13.68458	171.5048
13.69002	171.4794
13.69365	171.4607
13.69607	171.4501
13.69768	171.442
13.69876	171.4356
13.69947	171.4333
13.69995	171.4319
13.70027	171.4305
13.70048	171.4295
13.70062	171.4288
13.70072	171.4282
13.70078	171.4278
13.70082	171.4275
13.70085	171.4273
13.70087	171.4272
13.70088	171.4271
13.7009	171.427
13.70092	171.4269
13.70095	171.4267
13.70099	171.4265
13.70106	171.4261
13.70117	171.4256
13.70132	171.4246
13.70156	171.4231
13.70191	171.4212
13.70243	171.4188
13.70322	171.416
13.7044	171.41
13.70618	171.4016
13.70884	171.3893
13.71283	171.3696
13.71497	171.3603
13.7164	171.3526
13.71736	171.3474
13.71799	171.3451
13.71842	171.3436
13.7187	171.3423
13.71889	171.3414
13.71901	171.3408
13.7191	171.3404
13.71915	171.3401
13.71919	171.34
13.71921	171.3399
13.71923	171.3398
13.71924	171.3398
13.71926	171.3397
13.71929	171.3395
13.71934	171.3393
13.71941	171.3389
13.71951	171.3385
13.71966	171.3379
13.71988	171.337
13.72022	171.3356
13.72073	171.3334
13.7215	171.3292
13.72264	171.3222
13.72436	171.315
13.72694	171.3031
13.73081	171.2852
13.73661	171.2569
13.74531	171.2138
13.75836	171.1532
13.77795	171.0614
13.80732	170.9216
13.86309	170.6602
13.90027	170.4873
13.92506	170.3705
13.94159	170.2944
13.9526	170.2428
13.95995	170.2086
13.96485	170.1852
13.96811	170.1704
13.97029	170.1595
13.97174	170.1535
13.9727	170.1495
13.97335	170.1463
13.97378	170.1439
13.97407	170.1426
13.97426	170.1418
13.97438	170.1412
13.97447	170.1409
13.97453	170.1407
13.97456	170.1405
13.97459	170.1404
13.9746	170.1404
13.97462	170.1403
13.97465	170.1402
13.97469	170.14
13.97475	170.1398
13.97484	170.1394
13.97498	170.1387
13.97519	170.1378
13.9755	170.1366
13.97596	170.1345
13.97666	170.1311
13.97771	170.1253
13.97927	170.1193
13.98163	170.1071
13.98516	170.0923
13.99045	170.0674
13.99839	170.03
14.0103	169.9741
14.02817	169.8923
14.05496	169.7702
14.09516	169.5832
14.13833	169.3864
14.16711	169.2572
14.1863	169.1682
14.19909	169.1103
14.20762	169.073
14.2133	169.0473
14.21709	169.0284
14.21962	169.0184
14.2213	169.0103
14.22243	169.0033
14.22318	169.0004
14.22367	168.9991
14.22401	168.9978
14.22423	168.997
14.22438	168.9963
14.22448	168.9959
14.22454	168.9956
14.22459	168.9954
14.22461	168.9953
14.22463	168.9952
14.22465	168.9951
14.22466	168.9951
14.22468	168.995
14.22471	168.9949
14.22475	168.9947
14.22482	168.9945
14.22492	168.9942
14.22506	168.9937
14.22529	168.9929
14.22562	168.9916
14.22612	168.9894
14.22686	168.9854
14.22799	168.9785
14.22967	168.9723
14.23219	168.9621
14.23598	168.9439
14.24165	168.92
14.25017	168.8791
14.26295	168.8226
14.28211	168.7365
14.31369	168.5923
14.33474	168.499
14.34877	168.436
14.35813	168.3948
